,Name,coef,pvalue,pcorr,FDR<0.05
0,YPL231W,0.19999999999999998,0.6059012741795533,0.5021194461185648,False
1,YNR016C,0.7333333333333334,0.02455415007146968,0.04489232726211124,True
2,YJL130C,-0.13333333333333333,0.7323675052362975,0.5620152108010869,False
3,YKL182W,0.9333333333333332,0.00023589981215941676,0.0014526268120629083,True
4,YJL080C,0.8166666666666667,0.007224785246358786,0.017361511375548765,True
5,YJR137C,0.7999999999999999,0.00962792472537983,0.021613472283828938,True
6,YMR229C,0.8833333333333333,0.0015905004234978686,0.005733075154577836,True
7,YDL171C,-0.049999999999999996,0.8983528043506301,0.6421538818523277,False
8,YBR079C,0.7833333333333333,0.012519873019449882,0.026718855362627428,True
9,YGL173C,0.3,0.4328453267094823,0.39507439251308873,False
10,YOR341W,0.8166666666666667,0.007224785246358786,0.017361511375548765,True
11,YMR012W,0.9333333333333332,0.00023589981215941676,0.0014526268120629083,True
12,YER091C,0.9500000000000001,8.762523965086177e-05,0.0007330140625416077,True
13,YLL026W,0.9500000000000001,8.762523965086177e-05,0.0007330140625416077,True
14,YPL106C,0.4666666666666666,0.20538635110581185,0.2227782412040379,False
15,YLR106C,-0.6166666666666666,0.07692880993776309,0.10575922324350849,False
16,YDR127W,0.6666666666666667,0.04986723056888511,0.07663521668317963,False
17,YGL206C,-0.6333333333333333,0.06708578689234565,0.09563769193266108,False
18,YLR249W,0.8499999999999999,0.0037047773275858133,0.010202231912433326,True
19,YDR258C,0.9500000000000001,8.762523965086177e-05,0.0007330140625416077,True
20,YGR094W,0.6166666666666666,0.07692880993776309,0.10575922324350849,False
21,YBL022C,0.8666666666666667,0.0024953982859902053,0.0075731497195079935,True
22,YFR030W,0.8499999999999999,0.0037047773275858133,0.010202231912433326,True
23,YBR115C,0.6,0.0876228290414024,0.11648778572974144,False
24,YDL185W,-0.48333333333333334,0.18746985521554207,0.21088630286814314,False
25,YOR326W,0.31666666666666665,0.4063970144863861,0.37813472473288634,False
26,YOR335C,0.5333333333333333,0.13922686754397814,0.16762517871409913,False
27,YGR204W,0.6833333333333333,0.04244227208707231,0.06714473455202355,False
28,YPL160W,0.7999999999999999,0.00962792472537983,0.021613472283828938,True
29,YBL076C,0.7,0.03576957497026169,0.05967596682127054,False
30,YKL157W,0.7333333333333334,0.02455415007146968,0.04489232726211124,True
31,YKL210W,0.6666666666666667,0.04986723056888511,0.07663521668317963,False
32,YKR009C,0.9666666666666667,2.155031274835775e-05,0.00026914367706742996,True
33,YMR031C,0.5,0.17047066078705375,0.19580388171813506,False
34,YPL226W,0.6,0.0876228290414024,0.11648778572974144,False
35,YGL195W,0.38333333333333336,0.30849527238037144,0.307360079102792,False
36,YKR095W,-0.5499999999999999,0.12497678418833198,0.1527498814050981,False
37,YGR240C,-0.26666666666666666,0.4879222748387009,0.43135880274810273,False
38,YGL245W,0.6833333333333333,0.04244227208707231,0.06714473455202355,False
39,YDL223C,0.8166666666666667,0.007224785246358786,0.017361511375548765,True
40,YOR027W,0.9333333333333332,0.00023589981215941676,0.0014526268120629083,True
41,YGR061C,0.6,0.0876228290414024,0.11648778572974144,False
42,YAL035W,0.8166666666666667,0.007224785246358786,0.017361511375548765,True
43,YNL121C,0.9833333333333333,1.9361963037459243e-06,3.503823811100214e-05,True
44,YBR169C,0.9666666666666667,2.155031274835775e-05,0.00026914367706742996,True
45,YIL078W,0.6,0.0876228290414024,0.11648778572974144,False
46,YJL034W,0.6833333333333333,0.04244227208707231,0.06714473455202355,False
47,YLR304C,0.9166666666666666,0.0005066190663052084,0.0023706163143508495,True
48,YBR121C,0.8333333333333333,0.005265691029161748,0.01349485513824697,True
49,YPL240C,0.7833333333333333,0.012519873019449882,0.026718855362627428,True
50,YJR109C,0.7999999999999999,0.00962792472537983,0.021613472283828938,True
51,YGL156W,0.9333333333333332,0.00023589981215941676,0.0014526268120629083,True
52,YOR317W,0.8499999999999999,0.0037047773275858133,0.010202231912433326,True
53,YIL075C,-0.45,0.22421610749233659,0.23839092076276033,False
54,YDL140C,0.2333333333333333,0.5456987782182727,0.4668449099040983,False
55,YGL009C,0.8499999999999999,0.0037047773275858133,0.010202231912433326,True
56,YKR001C,0.6833333333333333,0.04244227208707231,0.06714473455202355,False
57,YDL215C,0.8333333333333333,0.005265691029161748,0.01349485513824697,True
58,YCR012W,0.7666666666666667,0.01594401657897401,0.03216827781795387,True
59,YGL062W,0.7,0.03576957497026169,0.05967596682127054,False
60,YOR374W,0.7999999999999999,0.00962792472537983,0.021613472283828938,True
61,YGR130C,0.8666666666666667,0.0024953982859902053,0.0075731497195079935,True
62,YDL145C,-0.3666666666666667,0.33173980143301507,0.3250408568239671,False
