,Name,coef,pvalue,pcorr,FDR<0.05
0,YPR010C-A,0.3666666666666667,0.33173980143301507,0.26842057961038523,False
1,YPL228W,-0.7333333333333334,0.02455415007146968,0.033788107068638405,True
2,YPL081W,0.3666666666666667,0.33173980143301507,0.26842057961038523,False
3,YPL249C-A,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
4,YOR298C-A,-0.6833333333333333,0.04244227208707231,0.05188821401720808,False
5,YBR085C-A,-0.8499999999999999,0.0037047773275858133,0.007491645684917969,True
6,YEL020W-A,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
7,YDL045W-A,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
8,YJR048W,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
9,YEL039C,-1.0,0.0,0.0,True
10,YFR033C,0.6,0.0876228290414024,0.09344278150032091,False
11,YDR529C,0.7166666666666667,0.029818035695845287,0.03906099030401847,True
12,YML054C,-0.06666666666666667,0.8646897846262037,0.5456881625395547,False
13,YJR009C,-0.7,0.03576957497026169,0.045782445044053925,True
14,YGR192C,-0.7166666666666667,0.029818035695845287,0.03906099030401847,True
15,YJL052W,-0.9833333333333333,1.9361963037459243e-06,1.4670272549586017e-05,True
16,YNL052W,0.41666666666666663,0.26458604674749614,0.22758664546616267,False
17,YHR051W,0.6666666666666667,0.04986723056888511,0.05896872077242584,False
18,YKR066C,-0.8833333333333333,0.0015905004234978686,0.0038204691679500176,True
19,YJR104C,-0.3,0.4328453267094823,0.3304079578790759,False
20,YHR008C,-0.7666666666666667,0.01594401657897401,0.024161090308471172,True
21,YER055C,0.3666666666666667,0.33173980143301507,0.26842057961038523,False
22,YBR160W,-0.7666666666666667,0.01594401657897401,0.024161090308471172,True
23,YAL038W,-0.6666666666666667,0.04986723056888511,0.05896872077242584,False
24,YCR012W,-0.8666666666666667,0.0024953982859902053,0.005402075178375093,True
25,YMR297W,-1.0,0.0,0.0,True
26,YPL111W,-0.8499999999999999,0.0037047773275858133,0.007491645684917969,True
27,YCL030C,0.5,0.17047066078705375,0.16258291575996048,False
28,YBR011C,0.35,0.35581957250178897,0.28583163237390113,False
29,YJR121W,0.39999999999999997,0.2861051019083129,0.24004081157714197,False
30,YNR001C,0.7166666666666667,0.029818035695845287,0.03906099030401847,True
31,YER090W,0.33333333333333337,0.3807131816768634,0.30168263063219247,False
32,YDR007W,1.0,0.0,0.0,True
33,YGR254W,-0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
34,YER086W,0.38333333333333336,0.30849527238037144,0.2549915973624828,False
35,YGL026C,0.25,0.5164895523012263,0.37984727439912536,False
36,YKL211C,0.13333333333333333,0.7323675052362975,0.48046204933313386,False
37,YDR050C,-0.7,0.03576957497026169,0.045782445044053925,True
38,YKL152C,-0.7333333333333334,0.02455415007146968,0.033788107068638405,True
39,YGR264C,0.9166666666666666,0.0005066190663052084,0.0015316491944244535,True
40,YMR174C,-1.0,0.0,0.0,True
41,YDL181W,0.0,1.0,0.6082507433102081,False
42,YDL130W-A,-0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
43,YNL098C,-0.7999999999999999,0.00962792472537983,0.016390840782479158,True
44,YFL038C,-0.13333333333333333,0.7323675052362975,0.48046204933313386,False
45,YBR009C,0.21666666666666667,0.5755148957119259,0.4148066698423978,False
46,YDR382W,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
47,YGL103W,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
48,YFL037W,-0.45,0.22421610749233659,0.19785338687380918,False
49,YPL240C,-0.7333333333333334,0.02455415007146968,0.033788107068638405,True
50,YOR187W,0.9,0.0009430623223403293,0.002401580596590534,True
51,YPR080W,0.6666666666666667,0.04986723056888511,0.05896872077242584,False
52,YHL038C,0.8095238095238095,0.0149026676862301,0.023542187196220254,True
53,YEL021W,0.7166666666666667,0.029818035695845287,0.03906099030401847,True
54,YJR109C,-0.65,0.05807305801714863,0.06668079987198232,False
55,YGL187C,0.18333333333333335,0.6368198117628943,0.4381527342759891,False
56,YMR300C,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
57,YDL140C,0.31666666666666665,0.4063970144863861,0.3151181398808052,False
58,YOR116C,0.6666666666666667,0.04986723056888511,0.05896872077242584,False
59,YHR018C,-0.15,0.7000942309691419,0.4637510328133153,False
60,YER165W,0.7833333333333333,0.012519873019449882,0.02016734663743275,True
61,YDR408C,0.7166666666666667,0.029818035695845287,0.03906099030401847,True
62,YCL018W,0.33333333333333337,0.3807131816768634,0.30168263063219247,False
63,YGL031C,0.9,0.0009430623223403293,0.002401580596590534,True
64,YOL127W,0.9333333333333332,0.00023589981215941676,0.0008043200678752115,True
65,YJL189W,0.9666666666666667,2.155031274835775e-05,0.00011451052546741006,True
66,YOL006C,-0.3,0.6238376647810728,0.4350736032020045,False
67,YIL078W,0.6666666666666667,0.04986723056888511,0.05896872077242584,False
68,YLL018C,-0.6833333333333333,0.04244227208707231,0.05188821401720808,False
69,YFR053C,-0.8666666666666667,0.0024953982859902053,0.005402075178375093,True
70,YGL253W,0.9666666666666667,2.155031274835775e-05,0.00011451052546741006,True
71,YNL055C,0.5333333333333333,0.13922686754397814,0.1370441207432686,False
72,YGL008C,0.016666666666666666,0.9660548039946861,0.5940801448713815,False
73,YJL088W,0.08333333333333334,0.831214097710308,0.5280920001213859,False
74,YLR340W,0.7,0.03576957497026169,0.045782445044053925,True
75,YDL081C,1.0,0.0,0.0,True
