,Protein_pair,Spearman_r,Pvalue,pcorr,FDR<0.05
0,YDL131W_YMR116C,0.5499999999999999,0.12497678418833198,0.09933638588388709,False
1,YDL182W_YMR116C,0.9,0.0009430623223403293,0.0026607315598243184,True
2,YDR234W_YMR116C,0.7666666666666667,0.01594401657897401,0.0256213414242991,True
3,YIL094C_YMR116C,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
4,YBR115C_YMR116C,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
5,YNR050C_YMR116C,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
6,YDL131W_YDR060W,0.6,0.0876228290414024,0.08625665357874081,False
7,YDL182W_YDR060W,0.7166666666666667,0.029818035695845287,0.04669807624230685,True
8,YDR234W_YDR060W,0.9166666666666666,0.0005066190663052084,0.001991983052195798,True
9,YIL094C_YDR060W,0.7333333333333334,0.02455415007146968,0.038617931346447636,True
10,YBR115C_YDR060W,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
11,YNR050C_YDR060W,0.8833333333333333,0.0015905004234978686,0.004290868295801549,True
12,YDL131W_YLR075W,0.5499999999999999,0.12497678418833198,0.09933638588388709,False
13,YDL182W_YLR075W,0.9,0.0009430623223403293,0.0026607315598243184,True
14,YDR234W_YLR075W,0.7666666666666667,0.01594401657897401,0.0256213414242991,True
15,YIL094C_YLR075W,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
16,YBR115C_YLR075W,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
17,YNR050C_YLR075W,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
18,YDL131W_YGR085C,0.5499999999999999,0.12497678418833198,0.09933638588388709,False
19,YDL182W_YGR085C,0.9,0.0009430623223403293,0.0026607315598243184,True
20,YDR234W_YGR085C,0.7666666666666667,0.01594401657897401,0.0256213414242991,True
21,YIL094C_YGR085C,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
22,YBR115C_YGR085C,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
23,YNR050C_YGR085C,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
24,YDL131W_YDR418W,0.43333333333333335,0.2439524358800516,0.17174251485955636,False
25,YDL182W_YDR418W,0.8499999999999999,0.0037047773275858133,0.008298701213792222,True
26,YDR234W_YDR418W,0.6833333333333333,0.04244227208707231,0.058314735179858454,False
27,YIL094C_YDR418W,0.9666666666666667,2.155031274835775e-05,0.00012846767083537139,True
28,YBR115C_YDR418W,0.48333333333333334,0.18746985521554207,0.13997749189427142,False
29,YNR050C_YDR418W,0.6166666666666666,0.07692880993776309,0.07726328302444901,False
30,YDL131W_YDL082W,0.33333333333333337,0.3807131816768634,0.24729629516303817,False
31,YDL182W_YDL082W,0.7999999999999999,0.00962792472537983,0.01843772527720407,True
32,YDR234W_YDL082W,0.5666666666666667,0.11163298761149111,0.09640082294674558,False
33,YIL094C_YDL082W,0.9500000000000001,8.762523965086177e-05,0.00039983072314763585,True
34,YBR115C_YDL082W,0.3666666666666667,0.33173980143301507,0.21586449050993375,False
35,YNR050C_YDL082W,0.5333333333333333,0.13922686754397814,0.11042542970870026,False
36,YDL131W_YMR142C,0.5499999999999999,0.12497678418833198,0.09933638588388709,False
37,YDL182W_YMR142C,0.9,0.0009430623223403293,0.0026607315598243184,True
38,YDR234W_YMR142C,0.7666666666666667,0.01594401657897401,0.0256213414242991,True
39,YIL094C_YMR142C,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
40,YBR115C_YMR142C,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
41,YNR050C_YMR142C,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
42,YDL131W_YKL006W,0.5499999999999999,0.12497678418833198,0.09933638588388709,False
43,YDL182W_YKL006W,0.9,0.0009430623223403293,0.0026607315598243184,True
44,YDR234W_YKL006W,0.7666666666666667,0.01594401657897401,0.0256213414242991,True
45,YIL094C_YKL006W,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
46,YBR115C_YKL006W,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
47,YNR050C_YKL006W,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
48,YDL131W_YHL001W,0.3666666666666667,0.33173980143301507,0.21586449050993375,False
49,YDL182W_YHL001W,0.8333333333333333,0.005265691029161748,0.011315112816152221,True
50,YDR234W_YHL001W,0.6666666666666667,0.04986723056888511,0.06582474435092833,False
51,YIL094C_YHL001W,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
52,YBR115C_YHL001W,0.41666666666666663,0.26458604674749614,0.18521023272324727,False
53,YNR050C_YHL001W,0.6,0.0876228290414024,0.08625665357874081,False
54,YDL131W_YLR029C,0.43333333333333335,0.2439524358800516,0.17174251485955636,False
55,YDL182W_YLR029C,0.8499999999999999,0.0037047773275858133,0.008298701213792222,True
56,YDR234W_YLR029C,0.6833333333333333,0.04244227208707231,0.058314735179858454,False
57,YIL094C_YLR029C,0.9666666666666667,2.155031274835775e-05,0.00012846767083537139,True
58,YBR115C_YLR029C,0.48333333333333334,0.18746985521554207,0.13997749189427142,False
59,YNR050C_YLR029C,0.6166666666666666,0.07692880993776309,0.07726328302444901,False
60,YDL131W_YMR121C,0.5499999999999999,0.12497678418833198,0.09933638588388709,False
61,YDL182W_YMR121C,0.9,0.0009430623223403293,0.0026607315598243184,True
62,YDR234W_YMR121C,0.7666666666666667,0.01594401657897401,0.0256213414242991,True
63,YIL094C_YMR121C,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
64,YBR115C_YMR121C,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
65,YNR050C_YMR121C,0.6333333333333333,0.06708578689234565,0.07582540316639434,False
66,YDL131W_YIL133C,0.41666666666666663,0.26458604674749614,0.18521023272324727,False
67,YDL182W_YIL133C,0.8333333333333333,0.005265691029161748,0.011315112816152221,True
68,YDR234W_YIL133C,0.6833333333333333,0.04244227208707231,0.058314735179858454,False
69,YIL094C_YIL133C,0.9833333333333333,1.9361963037459243e-06,1.9878282051791487e-05,True
70,YBR115C_YIL133C,0.43333333333333335,0.2439524358800516,0.17174251485955636,False
71,YNR050C_YIL133C,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
72,YDL131W_YNL069C,0.3666666666666667,0.33173980143301507,0.21586449050993375,False
73,YDL182W_YNL069C,0.7999999999999999,0.00962792472537983,0.01843772527720407,True
74,YDR234W_YNL069C,0.6166666666666666,0.07692880993776309,0.07726328302444901,False
75,YIL094C_YNL069C,0.9500000000000001,8.762523965086177e-05,0.00039983072314763585,True
76,YBR115C_YNL069C,0.39999999999999997,0.2861051019083129,0.1933170853113573,False
77,YNR050C_YNL069C,0.5833333333333334,0.09918581647988323,0.08625665357874081,False
78,YDL131W_YKL180W,0.43333333333333335,0.2439524358800516,0.17174251485955636,False
79,YDL182W_YKL180W,0.8499999999999999,0.0037047773275858133,0.008298701213792222,True
80,YDR234W_YKL180W,0.6833333333333333,0.04244227208707231,0.058314735179858454,False
81,YIL094C_YKL180W,0.9666666666666667,2.155031274835775e-05,0.00012846767083537139,True
