,Protein_pair,Spearman_r,Pvalue,pcorr,FDR<0.05
0,YJL071W_YMR116C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
1,YMR062C_YMR116C,-0.35,0.35581957250178897,0.6812134673006426,False
2,YER069W_YMR116C,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
3,YOL140W_YMR116C,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
4,YJR109C_YMR116C,-0.45,0.22421610749233659,0.6812134673006426,False
5,YOR303W_YMR116C,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
6,YJL088W_YMR116C,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
7,YOL058W_YMR116C,-0.25,0.5164895523012263,0.796807764625607,False
8,YHR018C_YMR116C,0.09999999999999999,0.797971695234851,0.8619030650812417,False
9,YJL071W_YDR060W,0.6428571428571429,0.08555889101267318,0.6257856268909467,False
10,YMR062C_YDR060W,-0.03333333333333333,0.9321567355405039,0.9160679093221002,False
11,YER069W_YDR060W,0.38333333333333336,0.30849527238037144,0.6812134673006426,False
12,YOL140W_YDR060W,0.18333333333333335,0.6368198117628943,0.8093508847181836,False
13,YJR109C_YDR060W,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
14,YOR303W_YDR060W,0.4666666666666666,0.20538635110581185,0.6812134673006426,False
15,YJL088W_YDR060W,0.8333333333333333,0.005265691029161748,0.051321902742459416,False
16,YOL058W_YDR060W,0.18333333333333335,0.6368198117628943,0.8093508847181836,False
17,YHR018C_YDR060W,0.31666666666666665,0.4063970144863861,0.7194008689129201,False
18,YJL071W_YLR075W,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
19,YMR062C_YLR075W,-0.35,0.35581957250178897,0.6812134673006426,False
20,YER069W_YLR075W,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
21,YOL140W_YLR075W,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
22,YJR109C_YLR075W,-0.45,0.22421610749233659,0.6812134673006426,False
23,YOR303W_YLR075W,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
24,YJL088W_YLR075W,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
25,YOL058W_YLR075W,-0.25,0.5164895523012263,0.796807764625607,False
26,YHR018C_YLR075W,0.09999999999999999,0.797971695234851,0.8619030650812417,False
27,YJL071W_YGR085C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
28,YMR062C_YGR085C,-0.35,0.35581957250178897,0.6812134673006426,False
29,YER069W_YGR085C,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
30,YOL140W_YGR085C,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
31,YJR109C_YGR085C,-0.45,0.22421610749233659,0.6812134673006426,False
32,YOR303W_YGR085C,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
33,YJL088W_YGR085C,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
34,YOL058W_YGR085C,-0.25,0.5164895523012263,0.796807764625607,False
35,YHR018C_YGR085C,0.09999999999999999,0.797971695234851,0.8619030650812417,False
36,YJL071W_YDR418W,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
37,YMR062C_YDR418W,-0.45,0.22421610749233659,0.6812134673006426,False
38,YER069W_YDR418W,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
39,YOL140W_YDR418W,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
40,YJR109C_YDR418W,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
41,YOR303W_YDR418W,0.9166666666666666,0.0005066190663052084,0.009993061082870236,True
42,YJL088W_YDR418W,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
43,YOL058W_YDR418W,-0.38333333333333336,0.30849527238037144,0.6812134673006426,False
44,YHR018C_YDR418W,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
45,YJL071W_YDL082W,-0.11904761904761904,0.7788857260523797,0.8619030650812417,False
46,YMR062C_YDL082W,-0.5166666666666667,0.1543901209862251,0.6812134673006426,False
47,YER069W_YDL082W,-0.3,0.4328453267094823,0.7629589593882353,False
48,YOL140W_YDL082W,-0.5333333333333333,0.13922686754397814,0.6812134673006426,False
49,YJR109C_YDL082W,-0.65,0.05807305801714863,0.5118151586628381,False
50,YOR303W_YDL082W,0.9333333333333332,0.00023589981215941676,0.009771559969173442,True
51,YJL088W_YDL082W,0.13333333333333333,0.7323675052362975,0.8509535199340963,False
52,YOL058W_YDL082W,-0.5,0.17047066078705375,0.6812134673006426,False
53,YHR018C_YDL082W,-0.16666666666666669,0.668231040071504,0.8093508847181836,False
54,YJL071W_YMR142C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
55,YMR062C_YMR142C,-0.35,0.35581957250178897,0.6812134673006426,False
56,YER069W_YMR142C,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
57,YOL140W_YMR142C,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
58,YJR109C_YMR142C,-0.45,0.22421610749233659,0.6812134673006426,False
59,YOR303W_YMR142C,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
60,YJL088W_YMR142C,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
61,YOL058W_YMR142C,-0.25,0.5164895523012263,0.796807764625607,False
62,YHR018C_YMR142C,0.09999999999999999,0.797971695234851,0.8619030650812417,False
63,YJL071W_YKL006W,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
64,YMR062C_YKL006W,-0.35,0.35581957250178897,0.6812134673006426,False
65,YER069W_YKL006W,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
66,YOL140W_YKL006W,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
67,YJR109C_YKL006W,-0.45,0.22421610749233659,0.6812134673006426,False
68,YOR303W_YKL006W,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
69,YJL088W_YKL006W,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
70,YOL058W_YKL006W,-0.25,0.5164895523012263,0.796807764625607,False
71,YHR018C_YKL006W,0.09999999999999999,0.797971695234851,0.8619030650812417,False
72,YJL071W_YHL001W,0.11904761904761904,0.7788857260523797,0.8619030650812417,False
73,YMR062C_YHL001W,-0.5,0.17047066078705375,0.6812134673006426,False
74,YER069W_YHL001W,-0.2333333333333333,0.5456987782182727,0.8093508847181836,False
75,YOL140W_YHL001W,-0.4666666666666666,0.20538635110581185,0.6812134673006426,False
76,YJR109C_YHL001W,-0.5833333333333334,0.09918581647988323,0.6812134673006426,False
77,YOR303W_YHL001W,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
78,YJL088W_YHL001W,0.25,0.5164895523012263,0.796807764625607,False
79,YOL058W_YHL001W,-0.43333333333333335,0.2439524358800516,0.6812134673006426,False
80,YHR018C_YHL001W,-0.09999999999999999,0.797971695234851,0.8619030650812417,False
81,YJL071W_YLR029C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
82,YMR062C_YLR029C,-0.45,0.22421610749233659,0.6812134673006426,False
83,YER069W_YLR029C,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
84,YOL140W_YLR029C,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
85,YJR109C_YLR029C,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
86,YOR303W_YLR029C,0.9166666666666666,0.0005066190663052084,0.009993061082870236,True
87,YJL088W_YLR029C,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
88,YOL058W_YLR029C,-0.38333333333333336,0.30849527238037144,0.6812134673006426,False
89,YHR018C_YLR029C,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
90,YJL071W_YMR121C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
91,YMR062C_YMR121C,-0.35,0.35581957250178897,0.6812134673006426,False
92,YER069W_YMR121C,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
93,YOL140W_YMR121C,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
94,YJR109C_YMR121C,-0.45,0.22421610749233659,0.6812134673006426,False
95,YOR303W_YMR121C,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
96,YJL088W_YMR121C,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
97,YOL058W_YMR121C,-0.25,0.5164895523012263,0.796807764625607,False
98,YHR018C_YMR121C,0.09999999999999999,0.797971695234851,0.8619030650812417,False
99,YJL071W_YIL133C,0.023809523809523808,0.9553740118158807,0.9178074568456397,False
100,YMR062C_YIL133C,-0.45,0.22421610749233659,0.6812134673006426,False
101,YER069W_YIL133C,-0.18333333333333335,0.6368198117628943,0.8093508847181836,False
102,YOL140W_YIL133C,-0.43333333333333335,0.2439524358800516,0.6812134673006426,False
103,YJR109C_YIL133C,-0.5333333333333333,0.13922686754397814,0.6812134673006426,False
104,YOR303W_YIL133C,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
105,YJL088W_YIL133C,0.2333333333333333,0.5456987782182727,0.8093508847181836,False
106,YOL058W_YIL133C,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
107,YHR018C_YIL133C,-0.06666666666666667,0.8646897846262037,0.891305845226682,False
108,YJL071W_YNL069C,0.09523809523809523,0.8225054302036114,0.8680313677097858,False
109,YMR062C_YNL069C,-0.5,0.17047066078705375,0.6812134673006426,False
110,YER069W_YNL069C,-0.16666666666666669,0.668231040071504,0.8093508847181836,False
111,YOL140W_YNL069C,-0.43333333333333335,0.2439524358800516,0.6812134673006426,False
112,YJR109C_YNL069C,-0.6,0.0876228290414024,0.6257856268909467,False
113,YOR303W_YNL069C,0.9500000000000001,8.762523965086177e-05,0.004032951654930913,True
114,YJL088W_YNL069C,0.21666666666666667,0.5755148957119259,0.8093508847181836,False
115,YOL058W_YNL069C,-0.41666666666666663,0.26458604674749614,0.6812134673006426,False
116,YHR018C_YNL069C,-0.09999999999999999,0.797971695234851,0.8619030650812417,False
117,YJL071W_YKL180W,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
118,YMR062C_YKL180W,-0.45,0.22421610749233659,0.6812134673006426,False
119,YER069W_YKL180W,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
120,YOL140W_YKL180W,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
121,YJR109C_YKL180W,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
122,YOR303W_YKL180W,0.9166666666666666,0.0005066190663052084,0.009993061082870236,True
123,YJL088W_YKL180W,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
124,YOL058W_YKL180W,-0.38333333333333336,0.30849527238037144,0.6812134673006426,False
125,YHR018C_YKL180W,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
126,YJL071W_YJL177W,0.09523809523809523,0.8225054302036114,0.8680313677097858,False
127,YMR062C_YJL177W,-0.5,0.17047066078705375,0.6812134673006426,False
128,YER069W_YJL177W,-0.16666666666666669,0.668231040071504,0.8093508847181836,False
129,YOL140W_YJL177W,-0.43333333333333335,0.2439524358800516,0.6812134673006426,False
130,YJR109C_YJL177W,-0.6,0.0876228290414024,0.6257856268909467,False
131,YOR303W_YJL177W,0.9500000000000001,8.762523965086177e-05,0.004032951654930913,True
132,YJL088W_YJL177W,0.21666666666666667,0.5755148957119259,0.8093508847181836,False
133,YOL058W_YJL177W,-0.41666666666666663,0.26458604674749614,0.6812134673006426,False
134,YHR018C_YJL177W,-0.09999999999999999,0.797971695234851,0.8619030650812417,False
135,YJL071W_YNL301C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
136,YMR062C_YNL301C,-0.45,0.22421610749233659,0.6812134673006426,False
137,YER069W_YNL301C,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
138,YOL140W_YNL301C,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
139,YJR109C_YNL301C,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
140,YOR303W_YNL301C,0.9166666666666666,0.0005066190663052084,0.009993061082870236,True
141,YJL088W_YNL301C,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
142,YOL058W_YNL301C,-0.38333333333333336,0.30849527238037144,0.6812134673006426,False
143,YHR018C_YNL301C,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
144,YJL071W_YBL027W,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
145,YMR062C_YBL027W,-0.45,0.22421610749233659,0.6812134673006426,False
146,YER069W_YBL027W,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
147,YOL140W_YBL027W,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
148,YJR109C_YBL027W,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
149,YOR303W_YBL027W,0.9166666666666666,0.0005066190663052084,0.009993061082870236,True
150,YJL088W_YBL027W,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
151,YOL058W_YBL027W,-0.38333333333333336,0.30849527238037144,0.6812134673006426,False
152,YHR018C_YBL027W,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
153,YJL071W_YGL135W,0.2857142857142857,0.4927262450169573,0.796807764625607,False
154,YMR062C_YGL135W,-0.45,0.22421610749233659,0.6812134673006426,False
155,YER069W_YGL135W,-0.11666666666666665,0.7650079429261462,0.8619030650812417,False
156,YOL140W_YGL135W,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
157,YJR109C_YGL135W,-0.5333333333333333,0.13922686754397814,0.6812134673006426,False
158,YOR303W_YGL135W,0.7999999999999999,0.00962792472537983,0.08765114548066945,False
159,YJL088W_YGL135W,0.45,0.22421610749233659,0.6812134673006426,False
160,YOL058W_YGL135W,-0.31666666666666665,0.4063970144863861,0.7194008689129201,False
161,YHR018C_YGL135W,0.016666666666666666,0.9660548039946861,0.9178074568456397,False
162,YJL071W_YOR312C,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
163,YMR062C_YOR312C,-0.45,0.22421610749233659,0.6812134673006426,False
164,YER069W_YOR312C,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
165,YOL140W_YOR312C,-0.39999999999999997,0.2861051019083129,0.6812134673006426,False
166,YJR109C_YOR312C,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
167,YOR303W_YOR312C,0.9166666666666666,0.0005066190663052084,0.009993061082870236,True
168,YJL088W_YOR312C,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
169,YOL058W_YOR312C,-0.38333333333333336,0.30849527238037144,0.6812134673006426,False
170,YHR018C_YOR312C,-0.016666666666666666,0.9660548039946861,0.9178074568456397,False
171,YJL071W_YBR191W,0.19047619047619047,0.6514014957024814,0.8093508847181836,False
172,YMR062C_YBR191W,-0.35,0.35581957250178897,0.6812134673006426,False
173,YER069W_YBR191W,-0.049999999999999996,0.8983528043506301,0.891305845226682,False
174,YOL140W_YBR191W,-0.33333333333333337,0.3807131816768634,0.6812134673006426,False
175,YJR109C_YBR191W,-0.45,0.22421610749233659,0.6812134673006426,False
176,YOR303W_YBR191W,0.8833333333333333,0.0015905004234978686,0.016470625948085117,True
177,YJL088W_YBR191W,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
178,YOL058W_YBR191W,-0.25,0.5164895523012263,0.796807764625607,False
179,YHR018C_YBR191W,0.09999999999999999,0.797971695234851,0.8619030650812417,False
180,YJL071W_YPL079W,0.16666666666666666,0.6932388117283951,0.8384141512064073,False
181,YMR062C_YPL079W,-0.48333333333333334,0.18746985521554207,0.6812134673006426,False
182,YER069W_YPL079W,-0.08333333333333334,0.831214097710308,0.868372407626866,False
183,YOL140W_YPL079W,-0.2833333333333333,0.46003032896571994,0.7683712218380055,False
184,YJR109C_YPL079W,-0.5499999999999999,0.12497678418833198,0.6812134673006426,False
185,YOR303W_YPL079W,0.9,0.0009430623223403293,0.016470625948085117,True
186,YJL088W_YPL079W,0.33333333333333337,0.3807131816768634,0.6812134673006426,False
187,YOL058W_YPL079W,-0.43333333333333335,0.2439524358800516,0.6812134673006426,False
188,YHR018C_YPL079W,-0.13333333333333333,0.7323675052362975,0.8509535199340963,False
189,YJL071W_YLR061W,0.09523809523809523,0.8225054302036114,0.8680313677097858,False
190,YMR062C_YLR061W,-0.5,0.17047066078705375,0.6812134673006426,False
191,YER069W_YLR061W,-0.16666666666666669,0.668231040071504,0.8093508847181836,False
192,YOL140W_YLR061W,-0.43333333333333335,0.2439524358800516,0.6812134673006426,False
193,YJR109C_YLR061W,-0.6,0.0876228290414024,0.6257856268909467,False
194,YOR303W_YLR061W,0.9500000000000001,8.762523965086177e-05,0.004032951654930913,True
195,YJL088W_YLR061W,0.21666666666666667,0.5755148957119259,0.8093508847181836,False
196,YOL058W_YLR061W,-0.41666666666666663,0.26458604674749614,0.6812134673006426,False
197,YHR018C_YLR061W,-0.09999999999999999,0.797971695234851,0.8619030650812417,False
198,YJL071W_YFL034C-A,0.5714285714285714,0.13895995716070672,0.6812134673006426,False
199,YMR062C_YFL034C-A,0.2833333333333333,0.46003032896571994,0.7683712218380055,False
200,YER069W_YFL034C-A,0.6,0.0876228290414024,0.6257856268909467,False
201,YOL140W_YFL034C-A,0.48333333333333334,0.18746985521554207,0.6812134673006426,False
202,YJR109C_YFL034C-A,0.26666666666666666,0.4879222748387009,0.796807764625607,False
203,YOR303W_YFL034C-A,0.016666666666666666,0.9660548039946861,0.9178074568456397,False
204,YJL088W_YFL034C-A,0.7,0.03576957497026169,0.3186376815496053,False
